Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Gundenga_WL5059,NARSAMPET,CAT-B,19.08509598858651,15.131665045861132,Increase,99.93,97.96260857623555,Increase,Healthy,Healthy,Healthy,Not Applicable,
Upparapalle_WL2221,NARSAMPET,CAT-B,16.562956077046678,16.55243526743723,Increase,99.83999999999999,99.76920279903686,Increase,Zero Sector: S1 (B28),Healthy,Zero Sector: S1 (B28),Not Applicable,
Gurajala_WL5033,NARSAMPET,CAT-B,14.86420223116873,10.102169713440022,Increase,99.93,99.14463770106218,Increase,Low Sector: S1 (B1),Low Sector: S1 (B1),Healthy,Not Applicable,
Ameenabad_WL2137,NARSAMPET,CAT-B,13.706785853020829,12.476550010653815,Increase,99.69500000000001,97.77514493417048,Increase,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,
Vencherami_577794_UVTSWGL00015,PARKAL,CAT-B,122.4291473263873,84.1621386319708,Increase,100.0,98.75340569537617,Increase,Healthy,Healthy,Healthy,Not Applicable,
Chainpaka_213368_UVTSWGL00004,PARKAL,CAT-B,68.49847054947158,85.0225842702512,Decrease,100.0,99.49188398941703,Increase,Low Sector: S1 (B1) | Zero Sector: S1 (B28),Low Sector: S1 (B1),Zero Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Parakala_WL_WL2039,PARKAL,CAT-B,61.522861984558226,65.74867942727464,Decrease,98.64666666666669,99.74876800979392,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Challagarega_WL2143,PARKAL,CAT-B,60.32998006325208,62.21956304814657,Decrease,99.88499999999999,99.59434807597725,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S1 (B28)","Low Sector: S1,S2 (B1)",Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Chelpur_WL2081,PARKAL,CAT-C,59.88117230404153,77.14610552623235,Decrease,99.39,99.45485515428626,Decrease,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
ParkalNB_WL2132,PARKAL,CAT-B,52.56040276866392,47.652112030393035,Increase,100.0,99.72565203238224,Increase,Healthy,Healthy,Healthy,Not Applicable,
Bhupalapally_WL_WL2012,PARKAL,CAT-C,41.46759190782892,53.2996273935771,Decrease,98.14999999999999,99.56942025226094,Decrease,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Chityala_WL2064,PARKAL,CAT-B,37.50264453515409,28.044569999072674,Increase,99.355,99.59376797883407,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Regonda_WL2089,PARKAL,CAT-B,28.371782422997015,31.991672507052556,Decrease,100.0,99.74594178351803,Increase,"Low Sector: S2 (B1) | Low Sector: S1,S2 (B28)",Low Sector: S2 (B1),"Low Sector: S1,S2 (B28)",Not Applicable,Advise Marketing Campaign
Shyampet-NB_WL2090,PARKAL,CAT-B,25.825274541974036,37.705193439001775,Decrease,100.0,99.74804340528404,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Jangedu_Mini_WL2161,PARKAL,CAT-B,25.64970618486401,27.757596038902765,Decrease,98.925,99.05920284105383,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Tekumatla_WL2218,PARKAL,CAT-B,25.21466199122367,20.434483093085372,Increase,99.855,99.56717384448949,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,
Mogullapalli_WL2245,PARKAL,CAT-B,17.669821797870085,17.820271383722602,Decrease,99.46999999999998,99.69413056083349,Decrease,"Low Sector: S0,S2 (B1) | Low Sector: S1,S2 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S1,S2 (B28)",Not Applicable,Advise Marketing Campaign
Nadikuda_WL2240,PARKAL,CAT-B,13.90157563146201,15.68229407897838,Decrease,99.89,99.74768089405002,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Gorlavedu_WL2155,PARKAL,CAT-B,12.667266036383786,10.581126103891666,Increase,99.58,99.61072460008704,Decrease,Zero Sector: S1 (B28),Healthy,Zero Sector: S1 (B28),Not Applicable,
Garimillapalle_WL2154,PARKAL,CAT-B,12.407160781323888,17.850813321924438,Decrease,99.82166666666667,99.57275351482889,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Isipet_GTL_WL5079,PARKAL,CAT-B,11.979445643722997,10.02410549689083,Increase,99.88,99.53753609477609,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,
Pulakurthy_WL2267,PARKAL,CAT-B,11.755215908400698,8.651166664622709,Increase,99.88499999999999,99.43891288867893,Increase,"Low Sector: S1 (B1) | Low Sector: S0,S2 (B28)",Low Sector: S1 (B1),"Low Sector: S0,S2 (B28)",Not Applicable,
Varikolpally_278011_UVTSWGL00005,PARKAL,CAT-B,9.765664773061864,7.275419217286,Increase,99.705,99.55246362879654,Increase,Zero Sector: S0 (B1) | Zero Sector: S2 (B28),Zero Sector: S0 (B1),Zero Sector: S2 (B28),Not Applicable,
